iter	Passed	Remaining
0	145	144984
1	159	79619
2	173	57782
3	188	47050
4	202	40259
5	215	35660
6	230	32642
7	243	30254
8	257	28403
9	271	26921
10	285	25686
11	298	24587
12	312	23739
13	326	22974
14	340	22340
15	353	21758
16	367	21227
17	380	20745
18	394	20370
19	409	20057
20	424	19781
21	438	19492
22	452	19218
23	465	18934
24	479	18689
25	494	18512
26	507	18293
27	521	18104
28	535	17924
29	549	17770
30	563	17613
31	578	17484
32	592	17358
33	605	17213
34	621	17127
35	634	17002
36	649	16910
37	662	16783
38	676	16661
39	690	16568
40	704	16475
41	718	16382
42	731	16286
43	744	16178
44	757	16072
45	770	15986
46	784	15913
47	798	15834
48	812	15764
49	826	15698
50	838	15600
51	851	15529
52	865	15463
53	879	15399
54	891	15325
55	904	15247
56	931	15405
57	944	15339
58	958	15281
59	971	15215
60	984	15152
61	997	15085
62	1010	15024
63	1023	14968
64	1036	14913
65	1049	14854
66	1063	14807
67	1076	14759
68	1091	14726
69	1106	14699
70	1120	14657
71	1134	14624
72	1150	14607
73	1166	14596
74	1182	14579
75	1197	14560
76	1214	14562
77	1230	14550
78	1246	14531
79	1261	14504
80	1276	14478
81	1291	14459
82	1306	14429
83	1319	14392
84	1333	14356
85	1348	14328
86	1363	14304
87	1377	14277
88	1392	14249
89	1405	14214
90	1419	14180
91	1432	14141
92	1446	14110
93	1460	14078
94	1474	14044
95	1488	14016
96	1502	13986
97	1515	13951
98	1529	13923
99	1544	13896
100	1558	13871
101	1572	13845
102	1586	13815
103	1600	13792
104	1614	13764
105	1629	13739
106	1642	13710
107	1655	13676
108	1670	13654
109	1684	13627
110	1697	13592
111	1710	13561
112	1724	13533
113	1738	13510
114	1752	13484
115	1766	13459
116	1781	13442
117	1794	13416
118	1809	13394
119	1822	13367
120	1836	13343
121	1850	13319
122	1864	13291
123	1877	13263
124	1890	13236
125	1903	13205
126	1916	13177
127	1929	13145
128	1942	13114
129	1955	13088
130	1969	13063
131	1982	13033
132	1994	13001
133	2008	12981
134	2022	12955
135	2035	12930
136	2047	12900
137	2060	12870
138	2073	12843
139	2086	12818
140	2100	12796
141	2114	12775
142	2127	12750
143	2141	12728
144	2154	12704
145	2167	12677
146	2180	12652
147	2193	12628
148	2205	12599
149	2220	12580
150	2233	12559
151	2246	12535
152	2260	12512
153	2272	12483
154	2285	12461
155	2299	12440
156	2313	12422
157	2326	12398
158	2338	12370
159	2351	12345
160	2365	12325
161	2379	12307
162	2392	12284
163	2406	12268
164	2418	12240
165	2432	12220
166	2445	12198
167	2458	12177
168	2471	12152
169	2484	12128
170	2497	12106
171	2511	12090
172	2524	12069
173	2537	12046
174	2550	12023
175	2564	12004
176	2578	11987
177	2591	11966
178	2604	11943
179	2616	11921
180	2631	11905
181	2645	11889
182	2659	11875
183	2673	11855
184	2686	11835
185	2699	11814
186	2712	11795
187	2727	11778
188	2741	11765
189	2755	11748
190	2770	11733
191	2783	11712
192	2797	11697
193	2810	11677
194	2823	11657
195	2837	11637
196	2850	11617
197	2862	11595
198	2876	11579
199	2890	11563
200	2903	11543
201	2918	11528
202	2931	11509
203	2944	11490
204	2958	11473
205	2972	11456
206	2985	11438
207	2998	11416
208	3010	11394
209	3024	11376
