iter	Passed	Remaining
0	13	13229
1	28	14019
2	41	13858
3	53	13402
4	67	13429
5	79	13232
6	91	12988
7	105	13079
8	116	12816
9	128	12728
10	141	12724
11	152	12576
12	164	12456
13	175	12385
14	188	12363
15	199	12262
16	213	12360
17	229	12511
18	242	12509
19	255	12505
20	268	12520
21	280	12453
22	295	12534
23	309	12570
24	321	12541
25	332	12443
26	343	12367
27	355	12340
28	367	12293
29	377	12213
30	393	12300
31	408	12362
32	424	12437
33	438	12458
34	452	12483
35	464	12433
36	474	12353
37	486	12325
38	498	12273
39	508	12201
40	520	12173
41	537	12252
42	554	12330
43	572	12447
44	588	12491
45	605	12561
46	620	12573
47	634	12575
48	648	12580
49	661	12567
50	674	12543
51	687	12525
52	699	12499
53	714	12510
54	732	12578
55	747	12607
56	763	12627
57	787	12794
58	806	12862
59	821	12866
60	845	13008
61	876	13255
62	899	13378
63	912	13345
64	926	13332
65	941	13317
66	958	13342
67	977	13397
68	991	13378
69	1006	13371
70	1019	13335
71	1031	13289
72	1044	13264
73	1056	13221
74	1070	13199
75	1083	13170
76	1101	13198
77	1113	13165
78	1127	13143
79	1141	13129
80	1154	13093
81	1166	13064
82	1178	13023
83	1191	12992
84	1203	12957
85	1217	12939
86	1229	12901
87	1240	12858
88	1254	12839
89	1270	12845
90	1284	12835
91	1301	12841
92	1313	12812
93	1327	12793
94	1339	12756
95	1349	12704
96	1361	12674
97	1373	12638
98	1384	12600
99	1398	12588
100	1410	12558
101	1423	12528
102	1434	12493
103	1445	12451
104	1458	12431
105	1470	12399
106	1480	12356
107	1494	12344
108	1508	12331
109	1520	12305
110	1531	12268
111	1542	12227
112	1554	12204
113	1567	12181
114	1580	12163
115	1591	12125
116	1603	12101
117	1616	12079
118	1626	12041
119	1638	12017
120	1652	12005
121	1665	11988
122	1680	11983
123	1691	11950
124	1703	11923
125	1715	11898
126	1726	11868
127	1736	11832
128	1749	11815
129	1761	11790
130	1772	11757
131	1783	11727
132	1795	11706
133	1808	11689
134	1819	11655
135	1832	11641
136	1844	11620
137	1855	11593
138	1867	11570
139	1881	11558
140	1895	11549
141	1911	11548
142	1926	11546
143	1940	11532
144	1952	11510
145	1962	11479
146	1974	11455
147	1986	11434
148	1998	11412
149	2010	11394
150	2023	11375
151	2035	11353
152	2045	11322
153	2057	11301
154	2068	11279
155	2080	11254
156	2094	11248
157	2151	11466
158	2191	11589
159	2222	11670
160	2240	11675
161	2275	11771
162	2289	11755
163	2302	11738
164	2316	11724
165	2328	11697
166	2341	11677
167	2354	11658
168	2366	11634
169	2379	11615
170	2389	11585
171	2401	11560
172	2413	11538
173	2424	11509
174	2436	11486
175	2448	11461
176	2459	11437
177	2470	11410
178	2483	11388
179	2495	11368
180	2507	11346
181	2519	11321
182	2531	11302
183	2545	11288
184	2558	11272
185	2569	11245
186	2580	11220
187	2592	11198
188	2604	11176
189	2616	11156
190	2630	11140
191	2643	11125
192	2655	11104
193	2667	11082
194	2680	11064
195	2695	11057
196	2708	11042
197	2721	11021
198	2732	10996
199	2744	10976
200	2756	10957
201	2769	10940
202	2780	10915
203	2791	10891
204	2803	10870
205	2814	10846
206	2824	10821
207	2839	10811
208	2852	10797
209	2864	10776
210	2874	10750
211	2887	10732
212	2899	10713
213	2910	10690
214	2921	10666
215	2933	10647
216	2946	10633
217	2960	10618
218	2970	10593
219	2983	10576
220	2994	10554
221	3004	10530
222	3016	10511
223	3028	10492
224	3040	10471
225	3052	10453
226	3065	10438
227	3077	10418
228	3088	10397
229	3099	10378
230	3112	10360
231	3123	10339
232	3133	10315
233	3146	10299
234	3158	10282
235	3170	10265
236	3181	10241
237	3194	10228
238	3207	10212
239	3218	10191
240	3228	10168
241	3242	10155
242	3255	10142
243	3266	10121
244	3277	10101
245	3290	10085
246	3302	10066
247	3312	10045
248	3324	10027
249	3337	10012
250	3350	9998
251	3368	9999
252	3380	9981
253	3391	9961
254	3403	9944
255	3415	9925
256	3425	9904
257	3438	9889
258	3451	9874
259	3463	9856
260	3476	9843
261	3488	9826
262	3501	9811
263	3513	9794
264	3523	9772
265	3535	9755
266	3547	9738
267	3559	9722
268	3570	9703
269	3584	9690
270	3596	9675
271	3609	9660
272	3620	9641
273	3646	9661
274	3658	9643
275	3670	9627
276	3682	9610
277	3693	9591
278	3704	9573
279	3715	9554
280	3728	9540
