title,originallink,link,description,pubDate
"새마을금고중앙회·유암코, 부동산 PF 정상화 펀드 설립 협약",http://www.handmk.com/news/articleView.html?idxno=25147,http://www.handmk.com/news/articleView.html?idxno=25147,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액1조 4,000억 원)를 운용한 바 있다. 이번 PF정상화 펀드는 주거, 비주거 등 구분... ","Wed, 25 Sep 2024 10:04:00 +0900"
"새마을금고중앙회-유암코, 부동산 PF 정상화 펀드 조성 협약",http://www.globalepic.co.kr/view.php?ud=20240925095351714848439a4874_29,http://www.globalepic.co.kr/view.php?ud=20240925095351714848439a4874_29,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액1조4,000억원)를 운용한 바 있다. 이번 PF정상화 펀드는 주거, 비주거 등 구분... ","Wed, 25 Sep 2024 09:56:00 +0900"
"새마을금고중앙회-유암코, 부동산 PF 정상화 펀드 조성 업무협약",https://www.newsclaim.co.kr/news/articleView.html?idxno=3035524,https://www.newsclaim.co.kr/news/articleView.html?idxno=3035524,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액1조4,000억원)를 운용한 바 있습니다. 이번 PF정상화 펀드는 주거, 비주거 등... ","Wed, 25 Sep 2024 09:38:00 +0900"
"새마을금고중앙회, 유암코와 5000억 규모 부동산PF 정상화 펀드 조성 협...",http://www.fntimes.com/html/view.php?ud=2024092508313888536a663fbf34_18,http://www.fntimes.com/html/view.php?ud=2024092508313888536a663fbf34_18,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액1조4000억원)를 운용한 바 있다. 이번 PF정상화 펀드는 주거, 비주거 등 구분... ","Wed, 25 Sep 2024 08:46:00 +0900"
"새마을금고중앙회-유암코, 부동산 PF 정상화 펀드 조성 협약",http://www.economytalk.kr/news/articleView.html?idxno=264629,http://www.economytalk.kr/news/articleView.html?idxno=264629,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액1조4,000억원)를 운용한 바 있다. 이번 PF정상화 펀드는 주거, 비주거 등 구분... ","Wed, 25 Sep 2024 08:42:00 +0900"
"[아주증시포커스] 경영권 수집이 취미?… MBK파트너스, 인수 <b>기업</b>마다 ...",https://www.ajunews.com/view/20240925073615983,https://www.ajunews.com/view/20240925073615983,"아주경제=장수영 기자 swimming@ajunews.com ◆아주경제 주요뉴스 ▷경영권 수집이 취미?…MBK파트너스, 인수 <b>기업</b>마다 파트너십 <b>부실</b> -MBK파트너스는 고려아연에 앞서 한국앤컴퍼니(한국타이어그룹), 롯데카드, 홈플러스... ","Wed, 25 Sep 2024 08:22:00 +0900"
"새마을금고중앙회-유암코, 부동산PF 정상화 펀드 조성 협약 체결",http://www.wsobi.com/news/articleView.html?idxno=254394,http://www.wsobi.com/news/articleView.html?idxno=254394,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액1조4,000억원)를 운용한 바 있다. 이번 PF정상화 펀드는 주거, 비주거 등 구분... ","Wed, 25 Sep 2024 08:16:00 +0900"
"새마을금고중앙회-유암코, 5000억원 규모 PF 정상화 펀드 조성",https://news.heraldcorp.com/view.php?ud=20240925050028,https://n.news.naver.com/mnews/article/016/0002366262?sid=101,"펀드 운용을 맡고 있는 유암코는 국내NPL(<b>부실</b>채권)및 <b>기업</b>구조조정 투자1위 <b>기업</b>이며, 금융위기 당시 PF<b>부실</b>사태 때에도 PF정상화뱅크(약정액 1조4000억원)를 운용한 바 있다. 이번 PF정상화 펀드는 주거, 비주거 등 구분... ","Wed, 25 Sep 2024 07:59:00 +0900"
&quot;中 금융부양패키지 주목…글로벌 유동성 랠리 탄력&quot;,http://www.edaily.co.kr/news/newspath.asp?newsid=01603926639023728,https://n.news.naver.com/mnews/article/018/0005842741?sid=101,박 연구원은 “물론 부동산 개발업체 등 <b>부실기업</b>의 대규모 구조조정과 같은 실질적 부채위기 극복책이나 실물경기 부양책이 빠졌다는 점은 다소 아쉬운 대목”이라며 “이번 조치로 중국 경기가 디플레이션 탈출 등 V... ,"Wed, 25 Sep 2024 07:44:00 +0900"
"SK해운·M캐피탈 등, 신보 보증 P-CBO로 5400억 유동성 조달",https://view.asiae.co.kr/article/2024092507294039329,https://n.news.naver.com/mnews/article/277/0005475921?sid=101,건설사가 많이 포함될 경우 P-CBO <b>부실</b>률이 높아질 우려가 커졌기 때문이다. 중소<b>기업</b>들의 자금 조달 금리는 4%대 중·후반에서 7%대로 책정됐다. IB업계 관계자는 &quot;신용도 악화로 자력으로 회사채를 발행하기 어려운... ,"Wed, 25 Sep 2024 07:32:00 +0900"
